optt_nbtm_s,target,0
0.0,1,213982
0.0,0,93715
0.0,2,56298
1.0,1,511
2.0,1,436
4.0,1,233
3.0,1,218
6.0,1,168
5.0,1,164
7.0,1,115
8.0,1,104
9.0,1,104
10.0,1,79
11.0,1,66
15.0,1,58
16.0,1,55
12.0,1,51
13.0,1,46
1.5,1,44
17.0,1,39
0.5,1,36
1.3333,1,34
14.0,1,33
18.0,1,30
2.5,1,29
3.5,1,26
22.0,1,24
26.0,1,22
9.5,1,20
1.25,1,20
0.25,1,19
15.5,1,19
7.0,2,19
0.75,1,18
23.0,1,16
34.0,1,16
28.0,1,16
19.0,1,16
0.6667,1,16
33.0,1,16
5.5,1,15
24.0,1,15
6.0,2,15
25.0,1,14
21.0,1,13
1.25,2,13
20.0,1,12
4.5,1,12
0.3333,1,12
6.5,1,11
1.75,1,11
0.6667,2,11
4.0,2,11
6.6667,1,10
29.0,1,10
1.6667,1,9
30.0,1,9
18.5,1,9
0.6,1,8
27.0,1,8
2.0,2,8
6.75,1,8
2.3333,1,8
4.6667,1,8
4.3333,1,8
13.5,1,7
8.5,1,7
59.0,1,7
1.125,1,7
5.3333,1,7
11.5,1,7
0.4,1,7
10.5,1,6
1.0,2,6
7.5,1,6
12.5,1,6
35.0,1,6
9.3333,1,6
7.6667,1,6
18.0,2,6
2.75,1,5
2.6667,1,5
0.4286,1,5
0.2,1,5
3.6667,1,5
10.3333,1,5
31.0,1,5
8.25,1,4
7.3333,1,4
3.25,1,4
2.25,1,4
3.2,1,4
42.0,1,4
36.0,1,4
24.5,1,4
13.0,2,3
15.0,2,3
4.2,1,3
5.0,2,3
0.1995,1,3
7.0,0,3
1.5873,1,3
0.125,1,3
1.2596,1,3
6.3333,1,3
2.027,1,3
8.3333,1,3
8.6667,1,3
64.0,1,3
1.1667,1,3
0.8909999999999999,1,3
0.1667,1,3
28.5,1,3
0.5934,1,3
16.5,1,3
1.1429,1,3
11.3333,1,3
3.3333,1,3
5.2,1,3
1.6761,1,3
0.4089,1,3
3.6228,1,2
0.5,2,2
5.2606,1,2
6.0385,1,2
0.496,1,2
0.4923,2,2
18.512,1,2
0.4874,1,2
0.5179,1,2
2.8752,1,2
3.6124,1,2
0.4854,1,2
2.8838,1,2
2.8858,1,2
5.0205,1,2
2.8333,1,2
6.2729,1,2
1.4259,1,2
0.5188,1,2
0.6218,1,2
6.4781,1,2
2.6283,1,2
0.6158,1,2
2.633,1,2
4.9327,1,2
0.1846,1,2
4.9484,1,2
0.607,1,2
0.1882,1,2
6.4014,1,2
6.4,1,2
3.6351,1,2
0.5918,1,2
2.6948,1,2
0.1992,1,2
0.5778,1,2
0.5731,1,2
0.5714,1,2
0.5633,1,2
3.6,1,2
17.5,1,2
2.7775,1,2
0.5396,1,2
2.7909,1,2
2.8,1,2
6.1429,1,2
1.4554,1,2
5.8333,1,2
3.5978,1,2
0.3548,1,2
5.1,1,2
0.3284,1,2
